date,bitcoin_total_volumes,ethereum_total_volumes,tether_total_volumes,ripple_total_volumes,solana_total_volumes,terra-luna_total_volumes,cardano_total_volumes,avalanche-2_total_volumes,stellar_total_volumes,monero_total_volumes
2018-01-23,4779406610.509539,2162095341.3385787,3128360000.0,3071850000.0,3457574.5570013877,3808182.776471076,62623864.032755,9879743.142588776,89286825.57951638,97938001.45282367
2018-01-24,3582338295.944433,1871168506.347743,2618370000.0,1819990000.0,3375393.730010124,1975054.9926676801,120247479.6672865,6324588.955505573,275820681.67755777,48563954.634953626
2018-01-25,3204496193.302373,2098100041.2531192,2582940000.0,1006410000.0,3467483.256730908,944346.2340328032,113543205.04626423,4178780.246160479,269158201.2952746,65253452.166659765
2018-01-26,4616389063.310399,2126139932.407397,2950310000.0,2043480000.0,2903980.8568524625,411080.0042942087,86436298.9524816,6092849.116656564,218413734.95492527,87555403.44136347
2018-01-27,2894314081.3753986,1592501816.2673755,2010950000.0,772842000.0,2715223.2877061805,393766.2232495397,45494958.251873404,4016426.545291323,115947245.44101667,75024814.23622504
2018-01-28,2682886340.599035,3105991887.223209,2540410000.0,1307040000.0,3385522.0174709754,1418223.1134326158,51114212.4658298,2393108.0246924674,90397327.6979401,63865156.80416755
2018-01-29,2345235501.178288,2005499364.9335327,2037230000.0,1093900000.0,2493703.55942783,1928251.014969543,54376792.26218041,3814046.0500185965,65361999.855392165,50659854.25814156
2018-01-30,2321424679.531806,2006770995.7220535,2026820000.0,1249430000.0,2126230.1519960337,2738783.013454359,54034613.730166204,6488499.338391293,66608116.33817466,51377697.76614027
2018-01-31,3804947187.2286944,2570454739.6687236,3096270000.0,1106340000.0,2370841.7230691817,361413.37794729683,60904687.425443225,4093830.9432037342,99688307.54295182,86006721.5209635
2018-02-01,3225562144.838607,2148302756.922482,2662360000.0,1262330000.0,2113480.526002199,1628345.059102616,58966605.09924155,22188059.092310872,116353563.6614267,57529021.376001425
2018-02-02,4769515274.345698,3414246407.713859,3483370000.0,1403940000.0,2182277.4116870984,562811.027824358,86000222.89314842,17864243.589453157,82002594.8707794,67951423.72817802
2018-02-03,6813550017.173829,4640850229.358906,4799090000.0,3559920000.0,2337721.3827509126,308667.1284926026,165611115.0587108,15284821.365305046,181531502.57146832,116027388.67829688
2018-02-04,3422042094.7330213,1878004123.5207362,2492940000.0,2021760000.0,548910.1111122454,1800218.9068177487,138106828.2680116,14195022.66987678,94750828.34077865,51301377.422630794
2018-02-05,3337096341.0061126,1882681773.9790668,2509000000.0,1231960000.0,1837728.914580343,2382493.6222838876,83335835.56425951,20491070.63553679,72202186.43137234,46758592.64185643
2018-02-06,5313588642.981379,2941430688.7490797,3937090000.0,1261390000.0,2286736.274938201,998608.2962437699,69466413.88385011,15982829.478286525,90165746.54218875,73027099.39190271
2018-02-07,9152685412.95559,5021975963.611412,6266930000.0,2345600000.0,2950437.821089827,2247950.813671782,108155653.23330271,17694239.251827728,120911097.45382014,99891731.40932168
2018-02-08,4862232217.401406,2635662719.4442654,3352860000.0,1159110000.0,3280890.995949265,1192013.245523542,58421560.15245855,19176341.034035962,53624591.73480908,62323553.526961036
2018-02-09,3190753947.378832,2256661883.3019075,2495780000.0,881291000.0,2375972.6144311675,1025244.4968894958,23763678.044436757,25860480.27362753,28905807.231001902,74089122.6297329
2018-02-10,2960039948.907384,1609823406.4155498,1621940000.0,1682040000.0,2306268.656301432,572221.9086752374,58814949.31485622,18619900.779043667,50474590.55508762,66764683.18254948
2018-02-11,3371677737.5319858,1811750053.1438994,2632410000.0,4747340000.0,2791803.410911919,859629.6922677173,93596129.66884983,15242039.906739369,72800969.59155989,71689670.63601764
2018-02-12,2806997176.95887,1606757570.924482,2427580000.0,2571620000.0,3449950.8698416166,1226183.3576188218,32670730.6698983,17509659.125208754,32791032.28776154,47474615.03546054
2018-02-13,3069219870.565569,1342080234.6450908,2463490000.0,1790120000.0,2624526.4581755586,819133.2950458501,49329420.43797007,21262489.69767414,23371197.296289355,44938899.16895806
2018-02-14,2551515988.2160945,1215799275.6549883,2249290000.0,953263000.0,2831384.6236669393,1365475.5691211529,50797813.49232494,18553138.93832313,98306308.3125301,44290520.49066248
2018-02-15,3282094240.879327,1659598861.037234,3041180000.0,1442970000.0,4453912.36455054,2254456.4231562633,62947697.4322393,24893051.71475946,86182101.8741255,102357987.96144237
2018-02-16,4332356645.963475,1674187629.7427762,3297560000.0,1210330000.0,2703457.5841550757,1020850.2051621842,53183519.86476815,31163485.622371767,54352646.077416494,80991118.68500046
2018-02-17,3141038601.332415,1274489447.9994729,2617050000.0,579454000.0,2545885.09382515,847529.6934119504,57409442.88684969,30270381.184326597,31022534.869511753,63464526.884550855
2018-02-18,3699819140.1747103,1331103327.3327596,2756700000.0,1168690000.0,2654599.496858454,1505108.1902640732,78769451.8548117,24140141.30037517,48613298.31482556,122955404.3350254
2018-02-19,4740378626.743881,1443742228.731157,3140400000.0,1120790000.0,2051249.6504508469,592219.3812625747,49090687.34698211,23732139.34429084,36926954.969829574,65272476.2866229
2018-02-20,3486171704.866562,1113969168.9102838,2556800000.0,574668000.0,2439529.3289575824,561017.2657029943,47764084.92534232,23138653.76916582,35593526.8886188,64603234.954729654
2018-02-21,4225354045.1790047,1376504167.75521,2960120000.0,734276000.0,1936502.3610925872,622315.1823939912,61634100.15150636,22536447.967011515,67413827.0319591,63830908.44742939
2018-02-22,4574800113.397884,1249190216.7073753,2911040000.0,895935000.0,2232352.346863049,302083.84022164263,38964450.40899637,23557869.41802157,34051363.417083174,98374718.19566223
2018-02-23,4626064156.354444,1255677307.494043,2928040000.0,904021000.0,1384105.1497734163,127577.44165216305,39605926.75760744,25158607.112861387,36458193.88722558,104581451.71512446
2018-02-24,4009462976.493817,1553348119.733452,2817600000.0,899234000.0,888236.6647254211,162837.7312362881,47102348.274124004,22017841.4466868,29580719.956029244,84903672.64115024
2018-02-25,3465387501.6656966,1133793473.7387242,2418680000.0,491804000.0,863889.7763493777,325098.387458516,30548017.68370288,20663402.602641553,20605187.559454694,48414102.57456661
2018-02-26,2743650277.5619,971919367.4852569,1978000000.0,361005000.0,4253926.368138953,201781.8661772032,71917005.91648917,24334591.112465862,26460342.49022033,22844209.657680195
2018-02-27,3646748812.403751,1273600054.5671887,2383900000.0,463012000.0,1644975.9479360643,595416.8844047524,59971698.44694244,20241159.98645585,23127094.460361715,41484420.15505235
2018-02-28,3398119467.1062694,1185779363.0730155,2475340000.0,316422000.0,778127.9330190483,1037214.2257895649,43595311.86369452,17514134.353118777,26271272.912734095,53954018.353165895
2018-03-01,3182259829.3149323,1088578648.6068828,2396490000.0,327035000.0,1450401.0511809927,1121387.6590688583,42777371.55424273,18593948.46804531,26734238.824963257,42295477.62312502
