datetime,bitcoin,ethereum,tether,ripple,solana,cardano,avalanche,stellar,monero
2021-06-06 00:00:00+00:00,11.913183987140656,6.4927427768707275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07 00:00:00+00:00,29.93271142244339,7.3944496512413025,0.8382379412651062,0.7040565013885498,0.0,0.8753672242164612,0.0,0.0,0.0
2021-06-08 00:00:00+00:00,46.76736843585968,9.971579790115356,2.3816137313842773,0.7295397520065308,0.0,0.0,0.0,0.7865598797798157,0.7295397520065308
2021-06-09 00:00:00+00:00,51.74276179075241,7.103427827358246,1.5002341270446777,0.739808976650238,0.9032512307167053,0.0,0.0,0.0,0.7292943596839905
2021-06-10 00:00:00+00:00,51.81573188304901,3.348090648651123,0.0,0.0,0.0,0.0,0.0,0.0,0.7748258709907532
2021-06-11 00:00:00+00:00,58.58391797542572,5.455173909664154,0.8760249018669128,0.7927529811859131,0.0,0.7791417241096497,0.0,0.0,0.0
2021-06-12 00:00:00+00:00,47.21143263578415,10.160502016544342,1.6717242002487183,0.0,1.5864689350128174,0.0,0.0,0.0,0.0
2021-06-13 00:00:00+00:00,38.727000653743744,9.609778463840485,1.6871076226234436,0.0,0.0,1.7997060418128967,0.0,0.7169227600097656,0.7911436557769775
2021-06-14 00:00:00+00:00,34.70505768060684,6.390809953212738,2.433958649635315,0.0,0.8890283703804016,0.0,0.0,0.0,0.0
2021-06-15 00:00:00+00:00,37.96237975358963,11.75378805398941,3.2744654417037964,0.7395524978637695,0.0,3.1362035274505615,0.0,0.0,0.0
2021-06-16 00:00:00+00:00,42.23063337802887,7.058595299720764,2.441542148590088,1.5354958176612854,0.7556918859481812,0.7482476234436035,0.0,0.0,2.50166517496109
2021-06-17 00:00:00+00:00,51.451074063777924,11.07331657409668,0.7867941856384277,0.7867941856384277,1.4962897300720215,0.7064144611358643,0.0,0.0,0.7867941856384277
2021-06-18 00:00:00+00:00,54.553665935993195,10.998153746128082,0.8278324604034424,0.7195427417755127,0.0,0.0,0.0,0.0,0.0
2021-06-19 00:00:00+00:00,56.219796538352966,13.623505234718323,3.335503399372101,0.766683042049408,0.0,0.0,0.0,0.0,0.0
2021-06-20 00:00:00+00:00,39.84911847114563,13.900650680065155,2.3053054213523865,1.8129223585128784,0.7141116261482239,0.8562004566192627,0.0,0.8562004566192627,1.5238143801689148
2021-06-21 00:00:00+00:00,53.59134840965271,11.164797842502594,0.7375777363777161,0.7735985517501831,0.0,0.7057247757911682,0.0,0.0,0.0
2021-06-22 00:00:00+00:00,55.225248754024506,11.271580040454865,3.394731819629669,0.9514830708503723,0.0,0.0,0.7699544429779053,0.0,2.570923089981079
2021-06-23 00:00:00+00:00,57.81869161128998,6.503390252590179,2.313290238380432,0.7079524397850037,0.0,0.0,0.0,0.0,0.8495364785194397
2021-06-24 00:00:00+00:00,49.123883068561554,8.739804863929749,2.231361210346222,1.6965274810791016,0.0,1.6657511591911316,0.0,0.0,0.0
2021-06-25 00:00:00+00:00,42.18700307607651,4.829961061477661,0.782511830329895,0.0,0.0,0.8423483967781067,0.0,0.0,0.0
2021-06-26 00:00:00+00:00,41.72971707582474,2.325506091117859,0.0,0.7215845584869385,0.0,0.0,0.0,0.0,0.0
2021-06-27 00:00:00+00:00,46.10076141357422,4.707765758037567,0.9257742166519165,0.8153818249702454,0.0,0.8215326070785522,0.0,0.8153818249702454,0.8606427311897278
2021-06-28 00:00:00+00:00,35.33512532711029,14.225720882415771,1.7371302247047424,0.9074288606643677,0.0,0.0,0.0,0.0,0.7059405446052551
2021-06-29 00:00:00+00:00,28.89208298921585,4.0042343735694885,0.8303958177566528,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30 00:00:00+00:00,47.940654158592224,6.982470393180847,0.0,0.7851577997207642,0.7423169612884521,2.252198100090027,0.0,0.0,1.7016777396202087
2021-07-01 00:00:00+00:00,43.25091850757599,6.79872989654541,2.3113436698913574,0.0,0.7565515637397766,0.0,0.0,0.0,0.0
2021-07-02 00:00:00+00:00,44.96369808912277,5.4530850648880005,3.9342246055603027,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-03 00:00:00+00:00,40.312720000743866,6.386032581329346,0.7522661685943604,1.6646006107330322,0.0,0.9144923090934753,0.0,0.0,0.0
2021-07-04 00:00:00+00:00,21.739848792552948,6.64637166261673,3.322866141796112,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-05 00:00:00+00:00,45.221102476119995,8.54012942314148,1.714137613773346,0.9302167892456055,0.0,1.5477100610733032,0.0,0.0,0.7432170510292053
2021-07-06 00:00:00+00:00,36.63761246204376,3.6545292139053345,0.8059288263320923,0.0,0.0,0.8486023545265198,0.0,0.0,1.6421937942504883
2021-07-07 00:00:00+00:00,41.71924448013306,5.600722312927246,0.7427958846092224,0.8523499369621277,0.7109219431877136,0.0,0.0,0.0,1.7260403633117676
2021-07-08 00:00:00+00:00,33.18086874485016,4.681281745433807,2.2004688382148743,0.8136371374130249,0.0,0.0,0.0,0.0,0.0
2021-07-09 00:00:00+00:00,50.15721237659454,8.196383714675903,1.5292747616767883,0.7494539618492126,0.8753392696380615,0.0,0.0,0.0,0.0
2021-07-10 00:00:00+00:00,31.672493934631348,4.812904417514801,0.0,1.7506872415542603,0.0,0.0,0.0,0.0,0.0
2021-07-11 00:00:00+00:00,29.047371864318848,3.302616596221924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-12 00:00:00+00:00,29.089716732501984,8.938723087310791,1.8732337951660156,0.7936115264892578,0.0,0.0,0.0,0.0,0.0
