date,bitcoin_prices,ethereum_prices,tether_prices,ripple_prices,solana_prices,terra-luna_prices,cardano_prices,avalanche-2_prices,stellar_prices,monero_prices
2018-01-01,14093.6068305274,776.080330355968,1.00891,2.31012,0.9576058280146803,3.2699771961339086,0.74714042363643,5.28424438726287,0.496803,357.179637593928
2018-01-02,15321.9328517642,876.890258814416,1.00392,2.45529,0.7847113148208426,3.308074565927089,0.807430250865508,5.28424438726287,0.553798,376.534960037397
2018-01-03,15583.8855377593,963.0557506903511,1.01578,3.12571,0.8759944068917709,3.0821654302850994,1.0754011011838815,3.491229168216385,0.875563,395.262774498778
2018-01-04,15976.365194174,978.416104183522,1.00274,3.22005,0.7867121945458646,3.036929884275017,1.1793470150411156,4.573890580327729,0.7551188319281829,415.032997425882
2018-01-05,18336.9229801691,1004.8949722625625,0.999695,2.93138,0.666673390515131,2.7759001072054463,1.0778211835149423,4.702973876095848,0.7032173861675213,402.51063795503296
2018-01-06,18343.6624934071,1052.02336010703,1.00853,3.09163,0.6376210673084666,2.542384983272884,1.093780172480279,4.524678243432584,0.7444532340531758,407.58686038722004
2018-01-07,17039.8739138488,1137.6549188901813,1.00133,3.39845,0.6923331250859114,2.534265593053488,1.0528536805180457,4.652979768192462,0.7266447544486768,465.7044641482299
2018-01-08,15900.3650216006,1184.92393027798,1.01232,2.4485,0.657449398309544,2.52254390723583,0.9418999315467624,4.2066589802711825,0.65913497872435,420.88599242700275
2018-01-09,15604.7234082405,1361.4396682787146,1.00419,2.14126,0.6769721852162044,2.5272076536804366,0.8662015396561794,4.138614653765331,0.6281801529637477,542.3254860710418
2018-01-10,15509.2701268168,1345.5876017375906,1.0023,1.95614,0.6094358389483635,2.502664641259557,0.8164417056119962,4.3273324024062845,0.5842686064187144,455.1325353514595
2018-01-11,14050.5696063543,1181.6514100305303,1.00616,1.93361,0.5347904942320182,2.3611831862999466,0.7274617292991923,4.155602631208861,0.5771280911334775,367.972403285296
2018-01-12,14759.294629915,1315.6187580839762,1.00389,2.02577,0.5728269210770057,2.3804342367377007,0.9623286418063227,3.9099099574382943,0.7148524663777003,411.1707824874278
2018-01-13,15193.3148979847,1448.1800861342022,1.00231,2.0225,0.6848872198147996,2.4170810288844704,0.9379071855617376,4.028153546757421,0.7088513630982703,480.450132895559
2018-01-14,14476.5889713691,1410.0002145085193,1.01702,1.86561,0.6217032788666345,2.3765984639950517,0.8418895265838228,3.9688527298707648,0.6585609133654325,416.5262978796929
2018-01-15,14411.9977069182,1329.6713965043375,1.00744,1.66706,0.6227650900853694,2.4784212636952225,0.8224040744826202,3.983027284959082,0.6292995565578285,432.4156172420143
2018-01-16,11723.9135206658,1068.6004106894156,1.03035,1.19515,0.6470903181859691,2.311059170653423,0.6382177391603058,3.541747372273497,0.4558429996410159,325.29608548227543
2018-01-17,11415.3928442768,1022.3652131699663,1.02089,1.29116,0.6398628040694914,1.9616672699956184,0.6495671614349702,3.4413650446594928,0.490331113946438,325.0722459289927
2018-01-18,11569.4249920858,1036.072312788025,1.02209,1.61161,0.5683154806973284,1.1603295470835766,0.671356127214076,3.9083820710299406,0.5163488329224701,330.94946895710524
2018-01-19,11758.4693327652,1046.8985973958734,1.00555,1.54157,0.6574283212299112,1.1978613601194164,0.6657514508348865,4.243203228389407,0.5148648122823989,387.13478974720846
2018-01-20,13260.2711872786,1172.9172062239459,1.00356,1.58205,0.7411890135877649,1.2259683103279415,0.7340009347332741,4.026138967282433,0.5514678523689096,419.30470975045114
2018-01-21,11703.5048628599,1053.6332024800395,1.003,1.38127,0.693089721323073,1.2169254041628965,0.6290330817666664,4.104038313365283,0.4713872998441989,362.90144062908803
2018-01-22,10991.5950130802,1000.3871327788332,0.992747,1.30411,0.7169539321663891,1.477070689901528,0.5813511689714357,4.4154323370705555,0.49044936253744414,318.0298748016881
2018-01-23,10894.0009053405,991.665320638703,1.00714,1.34234,0.7124378933182761,1.7572693658314642,0.5648508617693447,4.483415556165992,0.4882799727976316,309.3324100362912
2018-01-24,11277.1159704489,1056.8792325682198,1.00486,1.33309,0.6866098174679662,1.6676734326477676,0.6248776332409309,4.149229943053339,0.5704118240737873,323.68649824491683
2018-01-25,11225.2544568853,1059.3154960264808,0.999067,1.30965,0.6728297405546847,1.6729046637789666,0.63963832722956,4.130905147133307,0.61092841097626,317.14746323029766
2018-01-26,11044.9072365744,1048.7989058434846,0.992098,1.21336,0.6503081490988862,1.6476723159089937,0.6206010251818365,4.048449316015311,0.6293344624241071,324.6185345488618
2018-01-27,11456.2135062799,1095.7825142892807,0.995557,1.23119,0.6194003582280405,1.7192787323582213,0.625463721730052,4.193864385042294,0.6224182787903286,326.8994472464488
2018-01-28,11665.6969300847,1237.3241758467964,0.988924,1.41666,0.6089398899298076,1.532508528079019,0.6305763664855509,4.125095246738391,0.6156763800994806,329.95196374516837
2018-01-29,11157.6638878978,1169.6342569193446,0.99629,1.31967,0.608939662026112,1.5096808176234209,0.5924707176465416,4.054191127181616,0.5735735840050118,315.81855629101125
2018-01-30,11095.2106891266,1161.9086430994253,0.994773,1.31231,0.6017917957668725,1.627105461506912,0.5879492074894594,3.8084935063375425,0.5710501293686642,314.3769490001274
2018-01-31,9989.68977659669,1058.0960529662955,0.989954,1.13747,0.541777928609612,1.6003809259229993,0.5017165694625461,3.961184523320031,0.4783117376282629,273.61275031914323
2018-02-01,10114.495086226,1106.1381723552724,0.993109,1.14397,0.5139234956267317,1.7125265758877692,0.4994619104070018,4.3329499671601965,0.527564388791936,270.24170513831456
