date,cardano,avalanche,isPartial
2022-01-01 00:00:00,33,47,False
2022-01-01 01:00:00,22,22,False
2022-01-01 02:00:00,12,27,False
2022-01-01 03:00:00,13,27,False
2022-01-01 04:00:00,16,28,False
2022-01-01 05:00:00,11,19,False
2022-01-01 06:00:00,16,13,False
2022-01-01 07:00:00,23,7,False
2022-01-01 08:00:00,13,15,False
2022-01-01 09:00:00,17,7,False
2022-01-01 10:00:00,20,5,False
2022-01-01 11:00:00,12,10,False
2022-01-01 12:00:00,19,21,False
2022-01-01 13:00:00,12,13,False
2022-01-01 14:00:00,17,17,False
2022-01-01 15:00:00,25,12,False
2022-01-01 16:00:00,22,21,False
2022-01-01 17:00:00,19,22,False
2022-01-01 18:00:00,27,26,False
2022-01-01 19:00:00,27,16,False
2022-01-01 20:00:00,24,26,False
2022-01-01 21:00:00,24,34,False
2022-01-01 22:00:00,30,37,False
2022-01-01 23:00:00,33,38,False
2022-01-02 00:00:00,44,33,False
2022-01-02 01:00:00,29,43,False
2022-01-02 02:00:00,29,34,False
2022-01-02 03:00:00,12,25,False
2022-01-02 04:00:00,13,38,False
2022-01-02 05:00:00,20,29,False
2022-01-02 06:00:00,9,23,False
2022-01-02 07:00:00,22,16,False
2022-01-02 08:00:00,25,18,False
2022-01-02 09:00:00,15,11,False
2022-01-02 10:00:00,18,10,False
2022-01-02 11:00:00,19,15,False
2022-01-02 12:00:00,25,11,False
2022-01-02 13:00:00,16,23,False
2022-01-02 14:00:00,32,24,False
2022-01-02 15:00:00,20,21,False
2022-01-02 16:00:00,18,25,False
2022-01-02 17:00:00,34,28,False
2022-01-02 18:00:00,28,33,False
2022-01-02 19:00:00,25,43,False
2022-01-02 20:00:00,22,47,False
2022-01-02 21:00:00,19,50,False
2022-01-02 22:00:00,36,47,False
2022-01-02 23:00:00,23,66,False
2022-01-03 00:00:00,24,46,False
2022-01-03 01:00:00,18,33,False
2022-01-03 02:00:00,22,48,False
2022-01-03 03:00:00,24,49,False
2022-01-03 04:00:00,15,23,False
2022-01-03 05:00:00,21,26,False
2022-01-03 06:00:00,17,17,False
2022-01-03 07:00:00,25,15,False
2022-01-03 08:00:00,17,12,False
2022-01-03 09:00:00,21,9,False
2022-01-03 10:00:00,18,10,False
2022-01-03 11:00:00,25,14,False
2022-01-03 12:00:00,19,7,False
2022-01-03 13:00:00,15,15,False
2022-01-03 14:00:00,24,8,False
2022-01-03 15:00:00,26,18,False
2022-01-03 16:00:00,21,16,False
2022-01-03 17:00:00,21,20,False
2022-01-03 18:00:00,19,22,False
2022-01-03 19:00:00,19,34,False
2022-01-03 20:00:00,28,30,False
2022-01-03 21:00:00,26,27,False
2022-01-03 22:00:00,24,40,False
2022-01-03 23:00:00,29,35,False
2022-01-04 00:00:00,17,40,False
2022-01-04 01:00:00,33,33,False
2022-01-04 02:00:00,19,26,False
2022-01-04 03:00:00,26,28,False
2022-01-04 04:00:00,22,23,False
2022-01-04 05:00:00,19,26,False
2022-01-04 06:00:00,22,21,False
2022-01-04 07:00:00,20,11,False
2022-01-04 08:00:00,19,8,False
2022-01-04 09:00:00,18,10,False
2022-01-04 10:00:00,26,13,False
2022-01-04 11:00:00,15,10,False
2022-01-04 12:00:00,27,8,False
2022-01-04 13:00:00,22,10,False
2022-01-04 14:00:00,23,20,False
2022-01-04 15:00:00,24,23,False
2022-01-04 16:00:00,23,22,False
2022-01-04 17:00:00,20,28,False
2022-01-04 18:00:00,33,25,False
2022-01-04 19:00:00,27,29,False
2022-01-04 20:00:00,16,33,False
2022-01-04 21:00:00,33,30,False
2022-01-04 22:00:00,21,33,False
2022-01-04 23:00:00,25,42,False
2022-01-05 00:00:00,29,44,False
2022-01-05 01:00:00,34,77,False
2022-01-05 02:00:00,26,77,False
2022-01-05 03:00:00,20,88,False
2022-01-05 04:00:00,22,87,False
2022-01-05 05:00:00,21,41,False
2022-01-05 06:00:00,19,33,False
2022-01-05 07:00:00,20,15,False
2022-01-05 08:00:00,17,10,False
2022-01-05 09:00:00,23,17,False
2022-01-05 10:00:00,19,16,False
2022-01-05 11:00:00,31,12,False
2022-01-05 12:00:00,19,17,False
2022-01-05 13:00:00,24,15,False
2022-01-05 14:00:00,28,26,False
2022-01-05 15:00:00,25,21,False
2022-01-05 16:00:00,25,24,False
2022-01-05 17:00:00,28,39,False
2022-01-05 18:00:00,32,29,False
2022-01-05 19:00:00,30,30,False
2022-01-05 20:00:00,39,28,False
2022-01-05 21:00:00,43,27,False
2022-01-05 22:00:00,30,32,False
2022-01-05 23:00:00,31,37,False
2022-01-06 00:00:00,34,39,False
2022-01-06 01:00:00,19,45,False
2022-01-06 02:00:00,24,31,False
2022-01-06 03:00:00,28,34,False
2022-01-06 04:00:00,34,28,False
2022-01-06 05:00:00,23,28,False
2022-01-06 06:00:00,26,23,False
2022-01-06 07:00:00,29,16,False
2022-01-06 08:00:00,29,10,False
2022-01-06 09:00:00,22,10,False
2022-01-06 10:00:00,21,15,False
2022-01-06 11:00:00,19,8,False
2022-01-06 12:00:00,35,12,False
2022-01-06 13:00:00,23,15,False
2022-01-06 14:00:00,20,20,False
2022-01-06 15:00:00,27,27,False
2022-01-06 16:00:00,23,25,False
2022-01-06 17:00:00,30,33,False
2022-01-06 18:00:00,28,30,False
2022-01-06 19:00:00,28,27,False
2022-01-06 20:00:00,35,37,False
2022-01-06 21:00:00,43,35,False
2022-01-06 22:00:00,28,42,False
2022-01-06 23:00:00,35,41,False
2022-01-07 00:00:00,24,58,False
2022-01-07 01:00:00,22,67,False
2022-01-07 02:00:00,27,93,False
2022-01-07 03:00:00,26,100,False
